Campaign Name,Ad Name,Amount Spent,Reach,Impressions,Clicks (All),Results,Day,Ad Set Name
Engajamento - Guanambi,teste 01 mdv,"0,8",110,113,0,3,2020-10-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"0,21",54,54,0,9,2020-10-26,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"2,3",369,376,3,45,2020-10-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"8,04",2491,2863,11,407,2020-10-27,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"0,77",125,128,0,19,2020-10-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"9,24",2782,3008,13,284,2020-10-28,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"2,07",305,313,2,31,2020-10-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"8,05",2436,2622,9,186,2020-10-29,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"2,21",294,300,2,41,2020-10-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"8,34",2359,2498,9,191,2020-10-30,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"3,83",626,634,6,61,2020-10-31,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"6,63",2177,2313,2,131,2020-10-31,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"4,27",818,825,7,88,2020-11-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"5,82",2093,2256,9,138,2020-11-01,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"3,8",685,700,3,80,2020-11-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"6,19",2482,2625,10,129,2020-11-02,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 01 mdv,"1,97",355,358,1,42,2020-11-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"6,28",2174,2257,5,145,2020-11-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"1,8",390,395,1,91,2020-11-03,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"0,88",378,382,2,32,2020-11-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"9,08",2896,3085,22,436,2020-11-04,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 02 mdv,"0,32",107,107,0,10,2020-11-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"6,97",2236,2315,9,279,2020-11-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"2,72",1641,1664,4,742,2020-11-05,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"0,84",390,398,5,59,2020-11-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"8,67",4612,4836,27,2316,2020-11-06,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"3,04",148,151,1,17,2020-11-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"6,01",417,426,2,170,2020-11-07,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"4,15",180,195,3,19,2020-11-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"5,3",329,352,3,140,2020-11-08,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"3,79",194,201,1,16,2020-11-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"8,74",456,487,3,174,2020-11-09,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"5,08",270,290,3,17,2020-11-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,10,584,646,2,237,2020-11-10,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"5,99",599,679,3,50,2020-11-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"9,1",820,937,2,323,2020-11-11,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"5,6",667,736,3,36,2020-11-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"9,64",929,1014,3,354,2020-11-12,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 03,"2,48",795,816,1,101,2020-11-13,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"12,3",4547,4782,21,2109,2020-11-13,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"5,5",783,840,5,2,2020-11-13,COMBOS 90D
Engajamento - Guanambi,teste 03,"1,16",394,402,3,55,2020-11-14,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"13,5",5656,5828,19,2486,2020-11-14,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"3,59",729,820,4,2,2020-11-14,COMBOS 90D
TESTE MDV PASSO 4,SALGADOS 1 REAL 90D FEED,"5,84",1035,1233,8,2,2020-11-14,COMBOS 90D
Engajamento - Guanambi,teste 03,"2,96",1050,1091,4,148,2020-11-15,PASSO 03 MDV GBI
Engajamento - Guanambi,teste 04 passo 3,"11,94",6082,6338,15,2560,2020-11-15,PASSO 03 MDV GBI
TESTE MDV PASSO 4,COMBO 90D FEED,"4,42",868,1017,3,,2020-11-15,COMBOS 90D
